,Raft,Cod,Autor1 prenume,Autor1 nume,Autor2 prenume,Autor2 nume,Autor3 prenume,Autor3 nume,Autor4 prenume,Autor4 nume,Titlu,Editura,An,Obs
,Raft 17,R1725,Traian,UNGUREANU,,,,,,,Razboiul timpurilor - declin occidental si asediu islamic,Humanitas,2006,
,Raft 17,R1726,Traian,UNGUREANU,,,,,,,"Despre securitate - Romania, tara ""ca si cum""",Humanitas,2006,
,Raft 17,R1727,Traian,UNGUREANU,,,,,,,Incotro duce istoria Romaniei,Humanitas,2008,
,Raft 17,R1728,Traian,UNGUREANU,,,,,,,Eroi si jocuri populare,Humanitas,2007,
,Raft 17,R1729,Andrei,PLESU,,,,,,,Comedii la portile orientului,Humanitas,2005,
,Raft 17,R1730,Pierre,DESPROGES,,,,,,,Femei secerate,Humanitas,2005,
,Raft 17,R1731,Nigel,WILLIAMS,,,,,,,Crimele din Wimbledon,Humanitas,2005,
,Raft 17,R1732,Adrian,LUSTIG,,,,,,,Funeralii fericite,Humanitas,2010,
,Raft 17,R1733,Cristian,PATRASCONIU,,,,,,,Repere intelectuale ale dreptei roamnesti,Humanitas,2010,
,Raft 17,R1734,Lucia,HOSSU LONGIN,,,,,,,Fata in fata cu generalul Ion Mihai Pacepa,Humanitas,2009,
,Raft 17,R1735,Adrew,CRUMEY,,,,,,,Domnul Mee,Univers,2012,
,Raft 17,R1736,Jean-Noel,KAPFERER,,,,,,,Zvonurile,Humanitas,1993,
,Raft 17,R1737,Max,WEBER,,,,,,,Etica protestanta si spiritul capitalist,Humanitas,1993,
,Raft 17,R1738,Elfriede,JELINEK,,,,,,,Exclusii,Polirom,2005,
,Raft 17,R1739,Herta,MULLER,,,,,,,Animalul inimii,Polirom,2006,
,Raft 17,R1740,Catalin Dorian,FLORESCU,,,,,,,Vremea minunilor,Polirom,2006,
,Raft 17,R1741,Stelian,TANASE,,,,,,,Copruri de iluminat,Polirom,2004,
,Raft 17,R1742,Ioan T.,MORAR,,,,,,,Lindenfeld,Polirom,2005,
,Raft 17,R1743,I.,ILF,E.,PETROV,,,,,America fara etaje,Polirom,2010,
,Raft 17,R1744,Ernest,HEMINGWAY,,,,,,,Fiesta,Polirom,2008,
,Raft 17,R1745,Ernest,HEMINGWAY,,,,,,,Sarbatoarea continua,Polirom,2008,
,Raft 16,R1601,George,NEAGOE,,,,,,,Asul de pica: Stefan Aug. Doinas,Cartea Romaneasca,2013,
,Raft 16,R1602,Vladimir,TISMANEANU,,,,,,,"Diavolul in istorie - Comunism, fascism si cateva lectii  ale secoluluil XX",Humanitas,2013,
,Raft 16,R1603,Radu,ROSETTI,,,,,,,Amintiri - Ce am auzit de la altii; Din copilarie; Din tinerete,Humanitas,2013,
,Raft 16,R1604,Dorin,BODEA,,,,,,,Valorile angajatilor romani,Result,2013,
,Raft 16,R1605,Paul,LENDVAI,,,,,,,Ungurii,Humanitas,2001,
,Raft 16,R1606,Robert,MUCHEMBLED,,,,,,,O istorie a placerii din secolul al XVI-lea pana in zilele noastre - Orgasmul si Occidentul,Cartier,2006,
,Raft 16,R1607,Gabriel,LIICEANU,,,,,,,Dragul meu turnator,Humanitas,2013,
,Raft 16,R1608,Ioana,PARVULESCU,,,,,,,Viata incepe vineri,Humanitas,2013,
,Raft 16,R1609,Radu,PARASCHIVESCU,,,,,,,Maimuta carpatina,Humanitas,2013,
,Raft 16,R1610,Vladimir,TISMANEANU,,,,,,,Cartea presedintilor,Humanitas,2013,
,Raft 16,R1611,Daniel,DUCRET,,,,,,,Feneile dictatorilor,Curtea Veche,2013,
,Raft 16,R1612,Shivani,SINGH,,,,,,,Moarte la curtea rajahului,Taj,2010,
,Raft 16,R1613,Barbara,CLEVERLY,,,,,,,Ultimul trandafir din Casmir,Corint,,
,Raft 16,R1614,John,STEINBECK,,,,,,,Perla,Polirom,2013,
,Raft 16,R1615,Ken,JOWITT,,,,,,,Noua dezordine mondiala - extinctia leninista,Curtea Veche,2012,
,Raft 16,R1616,Pierre,MANENT,,,,,,,Istoria intelectuala a liberalismului,Humanitas,2013,
,Raft 16,R1617,Mircea,CARP,,,,,,,"Aici Mircea Carp, sa auzim numai de bine!",Polirom,2012,
,Raft 16,R1618,Dan,TAPALAGA,,,,,,,Pretul adevarului - Un procuror in lupta cu sistemul - Dan Tapalaga in dialog cu Daniel Morar,Humanitas,2012,
,Raft 16,R1619,Ioana,PARVULESCU,,,,,,,Cartea intrebarilor,Humanitas,2010,
,Raft 16,R1620,Ioana,PARVULESCU,,,,,,,Intoarcere in secolul 21,Humanitas,2009,
,Raft 16,R1621,Felix I.,RODRIGUEZ,John,WEISMAN,,,,,Luptatorul din umbra - Un agent CIA si bataliile sale secrete,Polirom,2011,
,Raft 16,R1622,Barrie,GUNTER,,,,,,,Stapanul si anumalul de casa - beneficiile relatiilor cu animalele,Trei,2011,
,Raft 16,R1623,Liviu,REBREANU,,,,,,,"Romane, vol. *",Cartea Romaneasca,1986,
,Raft 16,R1624,Liviu,REBREANU,,,,,,,"Romane, vol. * *",Cartea Romaneasca,1986,
,Raft 16,R1625,Liviu,REBREANU,,,,,,,"Romane, vol. * * *",Cartea Romaneasca,1986,
,Raft 16,R1626,Dan,CHISU,,,,,,,Singur sub dus,Nemira,2004,
,Raft 16,R1627,Tom,HODGKINSON,,,,,,,Ghidul lenesului - mic tratat pentru lenesi rafinati,Nemira,2004,
,Raft 16,R1628,Russell,BANKS,,,,,,,Deriva continentelor,Univers,2007,
,Raft 16,R1629,Muriel,SPARK,,,,,,,Domnisoara Brodie in floarea varstei,Univers,2007,
,Raft 16,R1630,Emil,BRUMARU,,,,,,,Opera poetica,Cartier,2003,
,Raft 01,R0101,* * *,,,,,,,,Nice et ses environs,,,
,Raft 01,R0102,* * *,,,,,,,,Verona,,,
,Raft 01,R0103,* * *,,,,,,,,Venice,,,
,Raft 01,R0104,Roger,WILLIAMS,,,,,,,Londra,Litera International,2008,
,Raft 01,R0105,Michael,LEIDIG,Irene,ZOECH,,,,,Viena,Litera International,2007,
,Raft 01,R0106,Coral,DEVENPORT,Jane,FOSTER,,,,,Atena,Litera International,2008,
,Raft 01,R0107,National Geographic Traveler,,,,,,,,Italia,,,
,Raft 01,R0108,National Geographic Traveler,,,,,,,,Romania,,,
,Raft 01,R0109,National Geographic Traveler,,,,,,,,Marea Britanie,Adevarul,,
,Raft 01,R0110,* * *,,,,,,,,Barcelona,Lonely Planet,,
,Raft 01,R0111,* * *,,,,,,,,Provence & the Cote d'Azur,Lonely Planet,,
,Raft 01,R0112,Katrin,UNTERREINER,,,,,,,SISI Nyth and Truth,Christian Brandstatter,,
,Raft 01,R0113,* * *,,,,,,,,Elvetia,Aquila '93,,
,Raft 01,R0114,* * *,,,,,,,,Cehia si Slovacia,Aquila '93,,
,Raft 01,R0115,* * *,,,,,,,,Rome and the Vatican,Bonechi,,
,Raft 01,R0116,Michelin,LE GUIDE VERT,,,,,,,Austria,Editions des Voyages,,
,Raft 01,R0117,Michelin,LE GUIDE VERT,,,,,,,Tuscany,Editions des Voyages,,
,Raft 01,R0118,Michelin,LE GUIDE VERT,,,,,,,Barcelone et La Catalogne,Editions des Voyages,,
,Raft 01,R0119,Michelin,LE GUIDE VERT,,,,,,,Provence,Editions des Voyages,,
,Raft 01,R0120,Michelin,LE GUIDE VERT,,,,,,,Cote d'Azur,Editions des Voyages,,
,Raft 01,R0121,* * *,,,,,,,,Vatican,Musei Vaticani,,
,Raft 11,R1101,* * *,,,,,,,,Villa Maiella racconta…,,,
,Raft 11,R1102,* * *,,,,,,,,Tempo d'autunno,,,
,Raft 11,R1103,Julian,BARNES,,,,,,,Pedantul in bucatarie,Nemira,2006,
,Raft 11,R1104,* * *,,,,,,,,Pensiile pe intelesul tuturor 2011,Adevarul,2001,
,Raft 11,R1105,* * *,,,,,,,,Povesti de dragoste la prima vedere,Humanitas,2008,
,Raft 11,R1106,Kitti Cha,SANGMANCE,Catherine,DONZEL,,,,,The little book of Tea,Flammarion,,
,Raft 11,R1107,Katherine,KHODOROWSKY,Herve,ROBERT,,,,,The little book of Chocolate,Flammarion,,
,Raft 11,R1108,Ioan T.,MORAR,,,,,,,Negru si Rosu,Polirom,2013,
,Raft 11,R1109,Herta,MULLER,,,,,,,Inca de pe atunci vulpea era vanatorul,Humanitas,2010,
,Raft 11,R1110,Mircea,CARTARESCU,,,,,,,Orbitor Aripa stanga,Humanitas,2008,
,Raft 11,R1111,Mircea,CARTARESCU,,,,,,,Orbitor Corpul,Humanitas,2008,
,Raft 11,R1112,Mircea,CARTARESCU,,,,,,,Orbitor Aripa dreapta,Humanitas,2007,
,Raft 11,R1113,Graham,GREENE,,,,,,,La drum cu matusa-mea,Polirom,2013,
,Raft 11,R1114,Simona,TACHE,Mihai,RADU,,,,,"Femeile vin de pe Venus, barbatii de la baut",Trei,2013,
,Raft 11,R1115,Mario Vargas,LLOSA,,,,,,,Eroul discret,Humanitas,2013,
,Raft 11,R1116,Paul,JOHNSON,,,,,,,O istorie a lumii moderne 1920-2000,Humanitas,2014,
,Raft 11,R1117,Paul,JOHNSON,,,,,,,Dusmanii societatii,Humanitas,2013,
,Raft 11,R1118,Jean,SEVILLIA,,,,,,,Terorismul intelectual - din 1945 pana in prezent,Humanitas,2012,
,Raft 11,R1118,James,JOYCE,,,,,,,Portret al artistului la tinerete,Humanitas,2012,
,Raft 11,R1119,Zelda,FITZGERALD,,,,,,,Acorda-mi acest vals,Humanitas,2014,
,Raft 11,R1120,Adrian,CIOROIANU,,,,,,,Cea mai frumoasa poveste - cateva adevaruri simple despre istoria romanilor,Curtea Veche,2013,
,Raft 11,R1121,Dan,LUNGU,Amelia,GHEORGHITA,,,,,"Carti, filme, muzici si alte distractii din comunism",Polirom,2014,
,Raft 11,R1122,John,FOWLES,,,,,,,Mantisa,Polirom,2014,
,Raft 11,,Vladimir,TISMANEANU,Marius,STAN,,,,,Dosar Stalin Genialissimul generalisim,Curtea Veche,2014,
,Raft 11,,F. Scott,FITZGERALD,,,,,,,Povestiri cu Basil si Josephine,Polirom,2014,
,Raft 11,,John,STEINBECK,,,,,,,La rasarit de Eden,Polirom,2013,
,Raft 11,,Tim,TZOULIADIS,,,,,,,Abandonatii,Corint,2014,
,Raft 11,,Lucian,BOIA,,,,,,,Dosarele secrete ale agentului Anton,Humanitas,2014,
,Raft 11,,Simona,BERTHON,,,,,,,Razboi intre aliati,Humanitas,2014,
,Raft la mine in camera,,John,STEINBECK,,,,,,,Iarna vrajbei noastre,Polirom,2014,
,Raft la mine in camera,,Mario Vargas,LLOSA,,,,,,,Sarbatoarea tapului,Humanitas,2014,
,Raft la mine in camera,,John,STEINBECK,,,,,,,Fructele miniei,Polirom,2013,
,Raft la mine in camera,,Yann,MARTEL,,,,,,,Viata lui Pi,Polirom,2012,
,XXX,,Alain,BESANCON,,,,,,,Anatomia unei stafii,Humanitas,2014,
,XXX,,Aleksander,WAT,,,,,,,Secolul meu - Confesiunile unui intelectual european,Humanitas,2014,
,Raft la mine in camera,,Paulo,COELHO,,,,,,,Adulter,Humanitas,2014,
,Raft la mine in camera,,Ernest,HEMINGWAY,,,,,,,Gradina raiului,Polirom,2014,
,XXX,,Richard,KUNISCH,,,,,,,"Bucuresti si Stambul - Schite din Ungaria, Romania si Turcia",Humanitas,2014,
,XXX,,Richard C.,MARAIS,,,,,,,Madame Mallory si micul bucatar indian,Humanitas,2014,
,XXX,,Andrei,PLESU,Gabriel,LIICEANU,Horia-Roman,PATAPIEVICI,,,O idee care suceste mintile,Humanitas,2014,
,"Dulap mic, rand jos, spate",,,,,,,,,,,,,
,"Dulap mic, rand jos, spate",,Anatolie,HRISTEV,Vasile,FALIE,,,,,Fizica - Manual pentru clasa a IX-a,,,
,"Dulap mic, rand jos, spate",,Elena,MAGEARU,Argentina,PETRU,,,,,Chimie - exercitii si probleme cu caracter programat vol. I,,,
,"Dulap mic, rand jos, spate",,Elena,MAGEARU,Argentina,PETRU,,,,,Chimie - exercitii si probleme cu caracter programat vol. II,,,
,"Dulap mic, rand jos, spate",,Gh.,SILAS,I.,GROSANU,,,,,Mecanica,,,
,"Dulap mic, rand jos, spate",,Dorin,GHEORGHIU,Nicolae,GHERBANOVSCHI,,,,,Culegere de probleme de electricitate,,,
,"Dulap mic, rand jos, spate",,G.,IONESCU,V.,FOCHIANU,,,,,Probleme de fizica date la concursurile de admitere in invatamantul superior - pentru ingienri si subingineri,2 buc,,
,"Dulap mic, rand jos, spate",,,,,,,,,,Fizica - Manual pentru anul III liceu Sectia reala,,,
,"Dulap mic, rand jos, spate",,M.,ONCESCU,M.,PETRESCU,,,,,Fizica anul IV liceu real,,,
,"Dulap mic, rand jos, spate",,N.,STANESCU,I.,PETRESCU PRAHOVA,,,,,"Fizica Electroci9netica, curent alternativ, tuburi electronice, semiconductori, oscilatii si unde electromagnetice",,,
,"Dulap mic, rand jos, spate",,Vasile,CHIRIAC,Mihai,CHIRIAC,,,,,"Probleme de matematica, fizica, chimie date la concursurile de admitere in treapta a II-a de liceu in anii 1978-1986",,,
,"Dulap mic, rand jos, spate",,L.,PANAITOPOL,C.,OTTESCU,,,,,Probleme date la olimpiadele de matematica,,,
,"Dulap mic, rand jos, spate",,Nicolae C.,NEGOESCU,,,,,,,Probleme cu… probleme,,,
,"Dulap mic, rand jos, spate",,Grogore,GHEBA,,,,,,,Execritii si probleme de matematica - pentru concursurile de admitere in licee,,,
,"Dulap mic, rand jos, spate",,Marius,GALL,Anatolie,HRISTEV,,,,,Probleme date la olimpiadele de fizica,,,
,"Dulap mic, rand jos, spate",,Tr. I.,CRETU,D.,ANGHELESCU,,,,,Culegere de probleme de fizica pentru admiterea in invatamintul superior tehnic,,,
,"Dulap mic, rand jos, spate",,N.,HANGEA,T.,POPESCU,,,,,"Fizica Electrostatica, curenti ramificati, electromagnetism, inductie electromagnetica",,,
,"Dulap mic, rand jos, spate",,D.,TANASE,P.,PODAREANU,,,,,Probleme de chimie pentru licee,,,
,"Dulap mic, rand jos, spate",,Dorin,GHEORGHIU,Silvia,GHEORGHIU,,,,,Probleme de fizica pentru admiterea in invatamintul superior,,,
,"Dulap mic, rand jos, spate",,Margareta,AILINCAI,Liviu,RADULESCU,,,,,Probleme-intrebari de fizica,,,
,"Dulap mic, rand jos, spate",,I.,BUNGET,,,,,,,Compendiu de fizica pentru admitere in invatamintul superior,,,
,"Dulap mic, rand jos, spate",,* * *,,,,,,,,Analiza matematica I,,,
,"Dulap mic, rand jos, spate",,* * *,,,,,,,,Analiza matematica II,,,
,"Dulap mic, rand jos, spate",,O.,STANASILA,,,,,,,Analiza matematica,,,
,"Dulap mic, rand jos, spate",,,,,,,,,,Probleme fundamentale ale istoriei Romaniei,,,
,"Dulap mic, rand jos, spate",,David,HALLIDAY,Robert,RESNICK,,,,,Fizica vol I,,,
,"Dulap mic, rand jos, spate",,David,HALLIDAY,Robert,RESNICK,,,,,Fizica vol II,,,
,"Dulap mic, rand jos, spate",,D.,DRAGHICESU,Al.,LEONTE,,,,,Ghid de pregatire la matematica pentru concursul de admitere in invatamantul superior,,,
,"Dulap mic, rand jos, spate",,A.,HRISTEV,,,,,,,"Probleme de calcura, fizica moleculara si termodinamica pentru examenele de bacalaureat si admitere in invatamantul superior",,,
,"Dulap mic, rand jos, spate",,,PAPY,,,,,,,Matematica moderna vol 1,,,
,"Dulap mic, rand jos, spate",,,PAPY,,,,,,,Matematica moderna vol 2,,,
,"Dulap mic, rand jos, spate",,* * *,,,,,,,,Dictionar de termeni literari,,,
,"Dulap mic, rand jos, spate",,George,BELGIU,,,,,,,Sisteme informatice in ingineria mecanica,,,
,"Dulap mic, rand jos, spate",,Dumitru,HANCU,,,,,,,Dictionar al limbii romane,,,
,"Dulap mic, rand jos, spate",,,,,,,,,,Memorator matematic si tehnic,,,
,"Dulap mic, rand jos, spate",,George,CALINESCU,,,,,,,Istoria literaturii romane - compendiu,,,
,"Dulap mic, rand jos, spate",,* * *,,,,,,,,"Indreptar ortografic, ortoepic si de punctuatie",,,
,"Dulap mic, rand jos, spate",,Anatolie,HRISTEV,,,,,,,Probleme rezolvate de fizica * Mecanica,,,
,"Dulap mic, rand jos, spate",,Anatolie,HRISTEV,,,,,,,"Probleme rezolvate de fizica ** Termodinamica, fizica moleculara, caldura",,,
,"Dulap mic, rand jos, spate",,Anatolie,HRISTEV,,,,,,,Probleme rezolvate de fizica *** Electricitate,,,
,"Dulap mic, rand jos, spate",,Anatolie,HRISTEV,,,,,,,"Probleme rezolvate de fizica **** Optica, fizica atomica si nucleara",,,
,"Dulap mic, rand jos, spate",,Gh. N.,DRAGOMIRESCU,,,,,,,Mica enciclopedie a figurilor de stil,,,
,"Dulap mic, rand jos, spate",,* * *,,,,,,,,Dictionar de matematici generale,,,
,"Dulap mic, rand jos, fata",,Gheorghe,CALUGARITA,Valeriu,MANGU,,,,,Probleme de matematica pentru treapta I-a si a II-a de liceu vol I,,,
,"Dulap mic, rand jos, fata",,Gheorghe,CALUGARITA,Valeriu,MANGU,,,,,Probleme de matematica pentru treapta I-a si a II-a de liceu vol II,,,
,"Dulap mic, rand jos, fata",,Constantin,IONESCU-TIU,,,,,,,Geometrie plana si in spatiu pentru admitere in facultate,2 buc,,
,"Dulap mic, rand jos, fata",,Catalin-Petru,NICOLESCU,,,,,,,Analiza matematica Aplicatii **,,,
,"Dulap mic, rand jos, fata",,D. M.,BATINETI,,,,,,,Probleme de matematica pentru treapta a II-a de liceu - Siruri,,,
,"Dulap mic, rand jos, fata",,L.,PANAITOPOL,I. C.,DRAGHICESCU,,,,,Polinoame si ecuatii algebrice,,,
,"Dulap mic, rand jos, fata",R12,Dorin,GHEORGHIU,Silvia,GHEORGHIU,,,,,Probleme de fizica pentru admiterea in invatamintul superior,,,
,"Dulap mic, rand jos, fata",,Gabriela,CONE,Gheorghe,STANCIU,,,,,"Probleme de fizica pentru liceu, Fenomene electrice si optice, Elemente de fizica cuantica, Fizica nucleului",,,
,"Dulap mic, rand jos, fata",,Gabriela,CONE,Gheorghe,STANCIU,,,,,"Probleme de fizica pentru liceu, Mecanica, Termodinamica, Fizica moleculara",,,
,"Dulap mic, rand jos, fata",,Gh. D.,SIMIONESCU,,,,,,,Probleme de sinteza de geometrie plana si in spatiu,,,
,"Dulap mic, rand jos, fata",,Constantin,POPA,Viorel,HIRIS,,,,,Introducere in analiza matematica prin exercitii si probleme,,,
,"Dulap mic, rand jos, fata",,I.,CUCULESCU,,,,,,,Olimpiadele internationale de matematica ale elevilor,,,
,"Dulap mic, rand jos, fata",,* * *,,,,,,,,Catalog de materiale pentru sudare,,,
,"Dulap mic, rand jos, fata",,* * *,,,,,,,,Regimuri termice aplicate inainte si dupa sudarea otelurilor,,,
,"Dulap mic, rand jos, fata",,* * *,,,,,,,,Utilizarea calculatoarelor in domeniul sudarii si al procedeelor conexe,,,
,"Dulap mic, rand jos, fata",,* * *,,,,,,,,Aspecte economice ale tehnologiei sudarii,2 buc,,
,"Dulap mic, rand jos, fata",,* * *,,,,,,,,Aplicatii ale statisticii in domeniul constructiilor de masini,2 buc,,
,"Dulap mic, rand jos, fata",,Stefan,MORARIU,,,,,,,Transformari in imbinarile sudate ale otelurilor,2,,
,"Dulap mic, rand jos, fata",,Ioan,CARTIS,,,,,,,Tratamente termice indrumator pentru loucrari de laborator pentru uzul studentilor,,,
,"Dulap mic, rand jos, fata",,Ioan Gh.,CARTIS,,,,,,,Tratamente termice,,,
,"Dulap mic, rand jos, fata",,Traian,SALAGEAN,,,,,,,Tehnologia sudarii metalelor cu arc electric,,,
,"Dulap mic, rand jos, fata",,Traian,SALAGEAN,,,,,,,Tehnologia procedeelor de sudare cu arc,,,
,"Dulap mic, rand jos, fata",,Traian,SALAGEAN,Dan,MALAI,,,,,Optimizarea sudarii cu arc electric,,,
,"Dulap mic, rand jos, fata",,Marin,TRUSCULESCU,Viorel-Aurel,SERBAN,,,,,Metale amorfe,,,
,"Dulap mic, rand jos, fata",,Mircea Aurel,CIUGUDEAN,,,,,,,Zambete la electro,,,
,"Dulap mic, rand sus, spate",,I.,CHIRA,L.,SOFRONI,,,,,Procedee speciale de turnare,,,
,"Dulap mic, rand sus, spate",,Gh.,ION,M.,VOICU,,,,,Tehnologia asamblarii si montajului manual pentru licee industriale cu profil de mecanica,,,
,"Dulap mic, rand sus, spate",,N.,HUZUM,G.,RANTZ,,,,,"Masini, utilaje si instalatii din industria constructiilor de masini manual clasa XI-a",,,
,"Dulap mic, rand sus, spate",,N.,HUZUM,G.,RANTZ,,,,,"Masini, utilaje si instalatii din industria constructiilor de masini manual clasa XII-a",,,
,"Dulap mic, rand sus, spate",,Suzana,GADEA,Maria,PETRESCU,,,,,Aliaje amorfe solidificate ultrarapid sticle metalice,,,
,"Dulap mic, rand sus, spate",,V.,POPOVICI,S.,SONTEA,,,,,"Ghidul lucrarilor de sudare, taiere, lipire",,,
,"Dulap mic, rand sus, spate",,Ioan,DEUTSCH,,,,,,,Rezistenta materialelor,,,
,"Dulap mic, rand sus, spate",,I.,DEUTSCH,I.,GOIA,,,,,Probleme de rezistenta materialelor,,,
,"Dulap mic, rand sus, spate",,Nicolae,GERU,Marin,BANE,,,,,Analiza structurii materialelor metalice,,,
,"Dulap mic, rand sus, spate",,Marin,TRUSCULESCU,Aurel,IEREMIA,,,,,Oteluri inoxidabile si refractare,,,
,"Dulap mic, rand sus, spate",,Ion,MITELEA,Victor,BUDAU,,,,,Materiale si tratamente termice pentru structuri sudate,3 buc,,
,"Dulap mic, rand sus, spate",,Aurel,RADUTA,Mircea,NICOARA,,,,,"Ingenierie assistee par prdinateur et nouveaux materiaux Ecole e'ete 28 aout - 3 septembre 2006, Timisoara - Roumanie",,,
,"Dulap mic, rand sus, spate",,Paul,FOGARASSY,,,,,,,Birotica asistata de calculator,,,
,"Dulap mic, rand sus, spate",,Paul,FOGARASSY,,,,,,,Programarea in Visual Basic,,,
,"Dulap mic, rand sus, spate",,Paul,FOGARASSY,,,,,,,Sistem expert pentru sudarea electrica prin presiune,,,
,"Dulap mic, rand sus, spate",,Roland Laurentiu,CUCURUZ,,,,,,,Studiul materialelor - Manual bilingv vol I,2 buc,,
,"Dulap mic, rand sus, spate",,Aurel,RADUTA,,,,,,,Elemente de stiinta si ingineria materialelor vol I - Stiinta materialelor,,,
,"Dulap mic, rand sus, spate",,Aurel,RADUTA,,,,,,,Elemente de stiinta si ingineria materialelor vol II - Ingineria materialelor,,,
,"Dulap mic, rand sus, spate",,Viore-Aurel,SERBAN,Aurel,RADUTA,,,,,Materiale metalice - Ghidul profesorului de educatia tehnologica,,,
,"Raft mare, randul de jos, spate",,Cibaldi,CESARE,,,,,,,I criteri di scelta e di tratamenteo degli acciai da construzione e da utensili,,,
,"Raft mare, randul de jos, spate",,Ion,MITELEA,Victor,BUDAU,,,,,Studiuol metalelor - indreptar tehnic,,,
,"Raft mare, randul de jos, spate",,Traian,SALAGEAN,Ion,MITELEA,,,,,Metalurgia si sudarea otelurilor inoxidabile,,,
,"Raft mare, randul de jos, spate",,Dan,GARBEA,,,,,,,Analiza cu elemente finite,,,
,"Raft mare, randul de jos, spate",,Petru Cornel,RAICOV,,,,,,,"Calculul structurilor cu metoda elementului finit - Teorie, programe utilitare, aplicatii",,,
,"Raft mare, randul de jos, spate",,Nicolae,FAUR,,,,,,,Elemente finite - Fundamente,,,
,"Raft mare, randul de jos, spate",,John R.,BRAUER,,,,,,,What every engineer should know about finite element analysis,,,
,"Raft mare, randul de jos, spate",,Ioan,VIDA-SIMITI,,,,,,,Proprietati tehnologice in metalurgia pulberilor,,,
,"Raft mare, randul de jos, spate",,Livius,UDRESCU,,,,,,,Materiale metalice si tratamente termice volumice,,,
,"Raft mare, randul de jos, spate",,Livius,UDRESCU,,,,,,,Transfer termic si masic la aliaje metalice,,,
,"Raft mare, randul de jos, spate",,Corneliu Marius,CRACIUNESCU,,,,,,,Micro si nanoingineria aliajelor cu memorie a formei,,,
,"Raft mare, randul de jos, spate",,Corneliu Marius,CRACIUNESCU,,,,,,,Materiale compozite,,,
,"Raft mare, randul de jos, spate",,Victor,BUDAU,Corneliu Marius,CRACIUNESCU,,,,,Studiul materialelor - Ghid individuL PENTRU LUCRARI DE LABORATOR,,,
,"Raft mare, randul de jos, spate",,C.,IONESCU-TIU,N.,MIHAILEANU,,,,,Probleme de matematica pentru examenele de bacalaureat si admitere in invatamintul superior,,,
,"Raft mare, randul de jos, spate",,Lia,ARAMA,Teodor,MROZAN,,,,,Probleme de calcul diferential si integral,,,
,"Raft mare, randul de jos, spate",,Faniza,TURTOIU,,,,,,,Probleme de trigonometrie,,,
,"Raft mare, randul de jos, spate",,M. St.,BOTEZ,,,,,,,Probleme de geometrie,,,
,"Raft mare, randul de jos, spate",,Rodica,TRANDAFIR,,,,,,,Probleme de matematici pentru ingineri,,,
,"Raft mare, randul de jos, spate",,Faniza,TURTOIU,,,,,,,Ecuatii si inecuatii trigonometrice,,,
,"Raft mare, randul de jos, spate",,V.,BOJU,M.,POPESCU,,,,,Probleme de geometria varietatilor diferentiabile,,,
,"Raft mare, randul de jos, spate",,I. M.,POPESCU,G.,IONESCU,,,,,"Probleme de optica, fizica atomica si nucleara",,,
,"Raft mare, randul de jos, spate",,Ioan,DRUICA-ZELETIN,Armand,POPESCU,,,,,Probleme de mecanica si acustica pentru exemenele de bacalaureat si admitere in invatamantul superior,,,
,"Raft mare, randul de jos, spate",,Anatolie,HRISTEV,,,,,,,Probleme de fizica date la examene,,,
,"Raft mare, randul de jos, spate",,E.,ROGAI,C.,TEODORESCU,,,,,Tabele matematice uzuale,,,
,"Raft mare, randul de jos, spate",,Anatolie,HRISTEV,,,,,,,Probleme de fizica date la examene,,,
,"Raft mare, randul de jos, spate",,Marius,PREDA,Paul,CRISTEA,,,,,Probleme de electricitate pentru examenele de bacalaureat si admitere in invatamantul superior,,,
,"Raft mare, randul de jos, spate",,B.,BRADEANU,I.,POP,,,,,Probleme si exercitii de mecanica teoretica,,,
,"Raft mare, randul de jos, spate",,Oliviu,GHERMAN,Eugen,MAGYARI,,,,,Probleme de fizica pentru liceu,2 buc,,
,"Raft mare, randul de jos, spate",,Ion Gh.,VITA,,,,,,,Probleme de fizica cu situatii impuse pentru bacalaureat si admitere in invatamintul superior,,,
,"Raft mare, randul de jos, spate",,Constantin,NECSOIU,,,,,,,Probleme de fizica,,,
,"Raft mare, randul de jos, spate",,V. T.,MARCULESCU,Fl.,POPESCU,,,,,Probleme de chimie pentru concursul de admitere in invatamantul superior,,,
,"Raft mare, randul de jos, spate",,N.,POPESCU,C.,VITANESCU,,,,,Tehnologia tratamentelor termice,,,
,"Raft mare, randul de jos, spate",,Alexandru,CONSTANTINESCU,,,,,,,Detectia si masurarea coroziunii,,,
,"Raft mare, randul de jos, spate",,* * *,,,,,,,,Realizari si pesrpective in domeniul sudarii si incercarii materialelor,,,
,"Raft mare, randul de jos, spate",,* * *,,,,,,,,Sudarea materialelor plastice,,,
,"Raft mare, randul de jos, spate",,David,POPOVITS,Teofil,SUBU,,,,,Bimetale,,,
,"Raft mare, randul de jos, spate",,C.,BOARNA,D.,DEHELAN,,,,,Procedee neconventionale de sudare,,,
,"Raft mare, randul de jos, spate",,* * *,,,,,,,,Materiale de sudare fabricate in RSR,,,
,"Raft mare, randul de jos, spate",,* * *,,,,,,,,Ductil SA Welding cosnumables,,,
,"Raft mare, randul de jos, spate",,* * *,,,,,,,,Sudarea cu fascicul de electroni - Stadiul actual si perspective de dezvoltare,,,
,"Raft mare, randul de jos, spate",,Ioan,RADOI,,,,,,,Introducere in coroziunea si protectia metalelor si aliajelor,,,
