,Raft,Cod,Autor1 prenume,Autor1 nume,Autor2 prenume,Autor2 nume,Autor3 prenume,Autor3 nume,Autor4 prenume,Autor4 nume,Titlu,Editura,An,Obs
,Raft 08,R0803,Larry L.,WATTS,,,,,,,"Fereste-ma, Doamne, de prieteni - Razboiul clandestin al blocului sovietic cu Romania",RAO,2011,
,Raft 08,R0804,Stelian,TANASE,,,,,,,Acasa se vorbeste in soapta,Compania,2002,
,Raft 08,R0805,Stelian,TANASE,,,,,,,Clientii lu' tanti Varvara - Istorii clandestine,Humanitas,2005,
,Raft 08,R0806,Stelian,TANASE,,,,,,,Elite si societate - Guvrenarea Gheorghiu-Dej 1948-1065,Humanitas,2006,
,Raft 08,R0807,Tom,GALLAGHER,,,,,,,Furtul unie natiuni - Romania de la comunism incoace,Humanitas,2004,
,Raft 08,R0808,Valeriu,STOICA,Dragos Paul,ALIGICA,,,,,Recosntructia dreptei,Humanitas,2009,
,Raft 08,R0809,Mircea,CARTARESCU,,,,,,,Nostalgia,Humanitas,2013,
,Raft 08,R0810,Zoe,CAMARASESCU,,,,,,,"Amintiri - Frumusete, gratie, armonie, noblete. Adica tot ce am pierdut!",Ponte,2011,
,Raft 08,R0811,Marius,CHIVU,,,,,,,Cartea cu bunici,Humanitas,2007,
,Raft 08,R0812,Andrei,PLESU,,,,,,,Parabolele lui Iisus - Adevarul ca poveste,Humanitas,2012,
,Raft 08,R0813,Catalin Dorian,FLORESCU,,,,,,,Jacob se hotareste sa iubeasca,Polirom,2012,
,Raft 08,R0814,Catalin Dorian,FLORESCU,,,,,,,Maseurul orb,Polirom,2007,
,Raft 08,R0815,Filip,FLORIAN,,,,,,,Degete mici,Polirom,2007,
,Raft 08,R0816,Filip,FLORIAN,,,,,,,Zilele regelui,Polirom,2008,
,Raft 08,R0817,Ioan,GROSAN,,,,,,,O suta de ani de zile la Portile Orientului,Polirom,2007,
,Raft 08,R0818,Salman,RUSHDIE,,,,,,,Versete satanice,Polirom,2007,
,Raft 08,R0819,Stefan,AGOPIAN,,,,,,,Opere vol * - Insemnari din Sodoma; Drumul; Republica pe esafod; Ziua miniei; Manualul intimplator; Tache de catifea,Polirom,2008,
,Raft 08,R0820,Stefan,AGOPIAN,,,,,,,Opere vol * * - Sara; Tobit; Fric,Polirom,2009,
,Raft 08,R0821,David,PRIESTLAND,,,,,,,Steagul rosu - O istorie a comunismului,Litera,2012,
,Raft 08,R0822,John,FOWLES,,,,,,,Magicianul,Polirom,2007,
,Raft 08,R0823,Radu Pavel,GHEO,,,,,,,"Noapte buna, copii!",Polirom,2010,
,Raft 08,R0824,Ioana,NICOLAIE,,,,,,,O pasare pe sirma,Polirom,2008,
,Raft 08,R0825,Adrian,CIOROIANU,,,,,,,Pe umerii lui Marx - O introducere in istoria comunismului romanesc,Curtea Veche,2005,
,Raft 08,R0826,Leon,WIESELTIER,,,,,,,Kaddish,Polirom,2001,
,Raft 08,R0827,Orhan,PAMUK,,,,,,,Ma numesc Rosu,Curtea Veche,2006,
,,,Lucian,BOIA,,,,,,,Primul razboi mondial,Humanitas,2014,
,Raft 18,R1801,Lucian,BOIA,,,,,,,Mitul democratiei,Humanitas,2007,
,Raft 18,R1801,Lucian,BOIA,,,,,,,Mitul democratiei,Humanitas,2007,
,Raft 18,R1802,Lucian,BOIA,,,,,,,Tinerete fara batranete,Humanitas,2006,
,Raft 18,R1803,Lucian,BOIA,,,,,,,Intre inger si fiara - Mitul omului diferit din Antichitate pana in zilele nosatre,Humanitas,2011,
,Raft 18,R1804,Lucian,BOIA,,,,,,,Napoleon III cel iubit,Humanitas,2008,
,Raft 18,R1805,Lucian,BOIA,,,,,,,"Franta, hegemonie sau declin?",Humanitas,2010,
,Raft 18,R1806,Lucian,BOIA,,,,,,,De ce este Romania altfel?,Humanitas,2012,
,Raft 18,R1807,Lucian,BOIA,,,,,,,Tragedia Germaniei 1914-1945,Humanitas,2010,
,Raft 18,R1808,Lucian,BOIA,,,,,,,"""Germanofilii"" - Elita intelectuala romaneasca in anii primului razboi mondial",Humanitas,2009,
,Raft 18,R1809,Lucian,BOIA,,,,,,,Capcanele istoriei - Elita intelectuala romaneasca intre 1930 si 1950,Humanitas,2011,
,Raft 18,R1810,Lucian,BOIA,,,,,,,Mitologia stiintifica a comunismului,Humanitas,2011,
,Raft 18,R1811,Eugen,STANCU,,,,,,,Istoriile mele - Eugen Stancu in dialog cu Lucian Boia,Humanitas,2012,
,Raft 18,R1812,Neagu,DJUVARA,,,,,,,Misterul telegramei de la Stockholm…,Humanitas,2012,
,Raft 18,R1813,Neagu,DJUVARA,,,,,,,Exista istorie adevarata?,Humanitas,2004,
,Raft 18,R1814,Neagu,DJUVARA,,,,,,,Razboiul de saptezeci si sapte de ani si premisele hegemoniei americane (1914-1991),Humanitas,2008,
,Raft 18,R1815,Neagu,DJUVARA,,,,,,,Thocomerius - Hegru Voda un voivod de origine cumana la inceputurile Tarii Romanesti,Humanitas,2007,
,Raft 18,R1816,Neagu,DJUVARA,,,,,,,Exista istorie adevarata?,Humanitas,2004,
,Raft 18,R1816,Neagu,DJUVARA,,,,,,,Exista istorie adevarata?,Humanitas,2004,
,Raft 18,R1817,Neagu,DJUVARA,,,,,,,Amintiri din pribegie,Humanitas,2005,
,Raft 18,R1818,Neagu,DJUVARA,,,,,,,Ce au fost boierii mari in Tara Romaneasca - Saga Gradistenilor (secolele XVI-XX),Humanitas,2010,
,Raft 18,R1819,Neagu,DJUVARA,,,,,,,Insemnarile lui Georges Milesco,Humanitas,2011,
,Raft 18,R1820,Neagu,DJUVARA,,,,,,,"Aromanii - istorie, limba, destin",Humanitas,2012,
,Raft 18,R1821,George,RADULESCU,,,,,,,Un secol cu Heagu Djuvara,Adevarul,2010,
,Raft 18,R1822,David,GILMOUR,,,,,,,Clubul de film - Lectii de viata pentru fiul meu,Humanitas,2012,
,Raft 18,R1823,Sir Sacheverell,SITWELL,,,,,,,Calatorie in Romania,Humanitas,2011,
,Raft 18,R1824,Radu,ROSETTI,,,,,,,Ce am auzit de la altii - Amintiri,Humanitas,2011,
,Raft 18,R1825,Andrei,PLESU,,,,,,,"Note, stari, zile 1968-2009",Humanitas,2010,
,Raft 18,R1826,Andrei,PLESU,,,,,,,Despre bucurie in est si vest si alte eseuri,Humanitas,2006,
,Raft 18,R1827,Andrei,PLESU,,,,,,,Fata catre fata - Intalniri si portrete,Humanitas,2011,
,Raft 18,R1828,Vladimir,TISMANEANU,,,,,,,Despre 1989 - Naufragiul utopiei,Humanitas,2009,
,Raft 18,R1829,Vladimir,TISMANEANU,,,,,,,Despre comunism - Destinul unei religii politice,Humanitas,2011,
,Raft 18,R1830,Vladimir,TISMANEANU,Cristian,VASILE,,,,,Perfectul acrobat - Leonte Rautu mastile raului,Humanitas,2008,
,Raft 18,R1831,Nicolae,MERISANU,Dan,TALOS,,,,,Antologia rusinii dupa Virgil Ierunca,Humanitas,2009,
,Raft 18,R1832,Mircea,CARTARESCU,,,,,,,Jurnal,Humanitas,2001,
,Raft 18,R1833,Mircea,CARTARESCU,,,,,,,Frumoasele straine,Humanitas,2010,
,Raft 18,R1834,Dan C.,MIHAILESCU,,,,,,,"I. L. Caragiale despre lume, arta si neamul romanesc",Humanitas,2012,
,Raft 18,R1835,Dan C.,MIHAILESCU,,,,,,,I. L. Caragiale si caligrafia placerii - Despre eul din scrisori,Humanitas,201,
,Raft 18,R1836,Serban,CIOCULESCU,,,,,,,Viata lui I. L. Caragiale,Humanitas,2012,
,Raft 18,R1837,Vlad,MIXICH,,,,,,,Fanaticii - Portretele a zece oameni cu vocatie,Humanitas,2011,
,Raft 18,R1838,Radu Pavel,GHEO,,,,,,,Numele mierlei,Polirom,2008,
,Raft 18,R1839,Cristian,TEODORESCU,,,,,,,"Medgidia, orasul de apoi",Cartea Romaneasca,2009,
,Raft 18,R1840,Mihai,GAINUSA,,,,,,,Scandura de frizer,Polirom,2010,
,Raft 18,R1841,Kate,MORTON,,,,,,,Orele indepartate,Humanitas,2013,
,Raft 18,R1842,Cristian,PREDA,,,,,,,Rumanii fericiti - Vot siputere de la 1831 pana in prezent,Polirom,2011,
,Raft 18,R1843,Florin,DUMITRESCU,,,,,,,Primul meu job,Art,2011,
,Raft 18,R1844,Corina I.,BERNIC,,,,,,,Primii mei blugi,Art,2009,
,Raft 18,R1845,Laura,ALBULESCU,,,,,,,Prima mea dezamagire in dragoste,Art,2009,
,Raft 18,R1846,Bogdan,IANCU,,,,,,,Prima mea calatorie in strainatate,Art,2010,
,Raft 18,R1847,I.,DECUBLE,H.,GABRIEL,,,,,Prima mea betie,Art,2009,
,Raft 18,R1848,Marius,CHIVU,,,,,,,Ptimul meu porn,Art,2011,
,Raft 18,R1851,Ellis,AVERY,,,,,,,Foc in pavilionul de ceai,Humanitas,2008,
,Raft 18,R1852,Nikos,KAZANTZAKIS,,,,,,,Ultima ispita a lui Hristos,Humanitas,2011,
,Raft 18,R1853,Constanta,VINTILA-GHITULESCU,,,,,,,Focul amorului - despre dragoste si sexualitate in societatea romaneasca 1750-1830,,,
,Raft 18,R1854,Mark,TWAIN,,,,,,,Autobiografie,Art,2008,
,Raft 07,R0701,* * *,,,,,,,,Dictionar tehnic Englez - Roman,Tehnica,2001,
,Raft 07,R0702,* * *,,,,,,,,Dictionar tehnic Roman - Englez,Tehnica,2001,
,Raft 07,R0703,* * *,,,,,,,,Dictionar Englez - Roman (vol. * * M-Z),Tehnica,1996,
,Raft 07,R0704,Mihail,BOGDAN,,,,,,,Dictionar englez - roman,Stiintifica,1963,
,Raft 07,R0705,Leon,LEVITCHI,,,,,,,Dictionar roman - englez,Stiintifica,1965,
,Raft 07,R0706,Leon,LEVITCHI,Andrei,BANTAS,,,,,Dictionar englez - roman,Stiintifica,1971,
,Raft 07,R0707,N. N.,CONDEESCU,G.,HANES,Iulia,GIROVEANU,Sanda,MIHAIESCU-BOROIANU,Dictionar francez - roman,Stiintifica si Enciclopedica,1972,
,Raft 07,R0708,Ana,CANARACHE,Constantin,BORANESCU,,,,,Dictionar romana - francez,Stiintifica,1972,
,Raft 07,R0709,Ion,BRAESCU,Sorina,BERCESCU,Silvia,PANDELESCU,Maria,BRAESCU,Invatati limba franceza fara profesor,Stiintifica,1964,
,Raft 07,R0710,* * *,,,,,,,,Dictionar rus - roman,,1954,
,Raft 07,R0711,Constantin,NOICA,,,,,,,Cuvant impreuna despre rostirea romaneasca,Eminescu,1987,
,Raft 07,R0712,Boris,PASTERNAK,,,,,,,"Doctor Jivago, vol. *",Elit comentator,1991,
,Raft 07,R0713,Boris,PASTERNAK,,,,,,,"Doctor Jivago, vol. * *",Elit comentator,1991,
,Raft 07,R0714,Bogdan,SUCEAVA,,,,,,,Venea din timpul diez,Polirom,2004,
,Raft 07,R0715,Stephen R.,COVEY,,,,,,,Eficienta in 7 trepte sau Un abecedar al intelepciunii,All,1998,
,Raft 07,R0715,Stephen R.,COVEY,,,,,,,Eficienta in 7 trepte sau Un abecedar al intelepciunii,All,2000,
,Raft 07,R0716,Stephen R.,COVEY,,,,,,,Etica liderului eficient sau Conducerea bazata pe principii,All,2000,
,Raft 07,R0717,Joseph,O'CONNOR,Andrea,LAGES,,,,,Coaching cu NLP - Cum sa fii un coach de succes,Curtea Veche,2009,
,Raft 07,R0718,Kimberley,CORNISH,,,,,,,"Evreul din Linz - Wittgenstein, Hitler su lupta lor secreta pentru spirit",Nemira,2007,
,Raft 07,R0719,George,ORWELL,,,,,,,O mie noua sute optzeci si patru,Univers,1991,
,Raft 07,R0720,Paul,GOMA,,,,,,,Astra,Dacia,1992,
,Raft 07,R0721,Vladimir,PASTI,,,,,,,Romania in tranzitie - Caderea in viitor,Nemira,1995,
,Raft 07,R0722,Rudolf,STEINER,,,,,,,Crestinismul ca fapt mistic si misteriile Antichitatii,Humanitas,1993,
,Raft 07,R0723,Julius,EVOLA,,,,,,,Metafizica sexului,Humanitas,1994,
,Raft 07,R0724,Daniel,DAIANU,,,,,,,Echilibrul economic si moneda - Keynesism si monetarism,Humanitas,1993,
,Raft 07,R0725,Alvin,TOFFLER,,,,,,,Power shift Puterea in miscare,Antet,,
,Raft 06,R0601,* * *,,,,,,,,Cod fiscal,SHIK,2004,
,Raft 06,R0602,* * *,,,,,,,,Cod fiscal,Hamangiu,2007,
,Raft 06,R0603,Dumitru,POPESCU,,,,,,,Cenusa din ornic,Eminescu,1988,
,Raft 06,R0604,Mihai,EMINESCU,,,,,,,Proza,Albatros,1976,
,Raft 06,R0605,Alvin,TOFFLER,,,,,,,Socul viitorului,Politica,1973,
,Raft 06,R0606,George,VAIDEANU,,,,,,,Educatia la frontiera dintre milenii,Politica,1988,
,Raft 06,R0607,V. N.,SERDAKOV,,,,,,,Iluzia binelui -  Valorile morale si credinta religioasa,Politica,1988,
,Raft 06,R0608,Tudor,OCTAVIAN,,,,,,,"Povestiri alese, vol. *",Jurnalul,2006,
,Raft 06,R0609,Tudor,OCTAVIAN,,,,,,,"Povestiri alese, vol. * *",Jurnalul,2006,
,Raft 06,R0610,Tudor,OCTAVIAN,,,,,,,"Prosi, dar multi",Curtea Veche,2003,
,Raft 06,R0611,Robert L.,HEILBRONER,,,,,,,Filozofii lucrurilor simple - Vietile ecpocile si idelile marilor economisti,Humanitas,1994,
,Raft 06,R0612,Mircea,DANELIUC,,,,,,,Strigoi fara tara,Allfa,2001,
,Raft 06,R0613,Ioan,GROSAN,,,,,,,Un om din est,Noul scris romanesc,2010,
,Raft 06,R0614,John,STEINBECK,,,,,,,Strada Sardinelor,Polirom,2010,
,Raft 06,R0615,Gabriel,LIICEANU,,,,,,,Usa interzisa,Humanitas,2002,
,Raft 06,R0616,Salvador,DALI,,,,,,,Chipuri ascunse,Humanitas,2004,
,Raft 06,R0617,Harper,LEE,,,,,,,… sa ucizi o pasare cintatoare,Humanitas,2003,
,Raft 06,R0618,Mario Vargas,LLOSA,,,,,,,Povestasul,Humanitas,2003,
,Raft 06,R0619,Jean,SEVILLIA,,,,,,,Terorismul intelectual - din 1945 pana in prezent,Humanitas,2013,
,Raft 06,R0620,Paulo,COELHO,,,,,,,Alchimistul,Humanitas,2003,
,Raft 06,R0621,Paulo,COELHO,,,,,,,Manualul razboinicului luminii,Humanitas,2003,
,Raft 06,R0622,Paulo,COELHO,,,,,,,Zahir,Humanitas,2005,
,Raft 06,R0623,Gabriel Garcia,MARQUEZ,,,,,,,Povestea tirfelor mele triste,RAO,2005,
,Raft 06,R0624,Niccolo,MACHIAVELLI,,,,,,,Il principe / Principele,Humanitas,2006,
,Raft 06,R0625,Mircea,IVANESCU,,,,,,,mastile lui M. I. Gabrile Liiceanu in dialog cu Mircea Ivanescu,Humanitas,2012,
,Raft 06,R0626,Emir,KUSTURICA,,,,,,,Unde sunt eu in toata povestea asta?,Polirom,2012,
,Raft 06,R0627,Anton,CHEKHOV,,,,,,,"Collected work, vol. *",Raduga,1987,
,Raft 06,R0628,Gheroghe,PITUT,,,,,,,Aventurile marelui motan criminal Maciste,Sport-Turism,1983,
,Raft 06,R0629,Dan,GRIGORESCU,,,,,,,Cumintenia pamintului,Meridiane,1986,
,Raft 06,R0630,Sylvie,GERMAIN,,,,,,,Cartea noptilor,Univers,2007,
,Raft 06,R0631,Tonino,BENACQUISTA,,,,,,,Comedia ratatilor,Nemira,2006,
,Raft 06,R0632,Giles,FODEN,,,,,,,Ultimul rege al scotiei,Allfa,2008,
,Raft 06,R0633,Arthur Conan,DOYLE,,,,,,,Semnul celor patru,Corint,2005,
